Youtuber;subscribers;views;category
ZAMZAM ELECTRONICS TRADING;21700000;8507818877;nan
DUDU e CAROL;21600000;9597894786;Autos & Vehicles
Village Cooking Channel;21600000;5863377051;Howto & Style
Eva Bravo Play;21600000;9346383505;Entertainment
Tekashi 6ix9ine;21500000;5890180734;People & Blogs
Tlnovelas;21500000;15013096899;News & Politics
SMOL;21500000;22065582014;People & Blogs
invictor;21500000;8409641722;Gaming
YOLO;21400000;1573058816;Comedy
Sidhu Moose Wala;21400000;6264261757;Music
The Royalty Family;21300000;6269945014;People & Blogs
Becky G;21300000;10644857969;Music
Ishaan Ali 11;21300000;12761253839;People & Blogs
Infinite;21300000;5141834668;Entertainment
Azhan5star;21300000;10047736580;Entertainment
Dangal TV Channel;21300000;12895427184;Entertainment
Khan GS Research Centre;21200000;2073073070;Education
GMA Public  Affairs;21200000;11364908616;Entertainment
Tasty;21100000;5783557209;Howto & Style
Baim Paula;21100000;4526271677;People & Blogs
nigahiga;21000000;4380564906;Entertainment
Rafa & Luiz;21000000;7762905663;Entertainment
Lyrical Lemonade;21000000;10631638628;Entertainment
Vlad and Niki IDN;21000000;9789121606;nan
Dr. Vivek Bindra: Motivational Speaker;20900000;1693149479;Education
Fatos Desconhecidos;20900000;3828000587;Entertainment
Brave Wilderness;20900000;4927879069;Pets & Animals
LIV Crime;20900000;11058049885;People & Blogs
Minecraft - Topic;20900000;0;nan
Romeo Santos;20900000;17324976752;Music
Canal Canalha;20800000;1870608170;Comedy
Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿;20800000;2378448129;Education
Yoeslan;20700000;17963202261;Entertainment
5-Minute Crafts DIY;20700000;5091618606;Howto & Style
Zach King;20700000;5410164682;Entertainment
tuzelity SHUFFLE;20700000;8658941531;People & Blogs
NBA;20700000;12624879732;Sports
Deddy Corbuzier;20600000;4956090094;Entertainment
Bizarrap;20600000;7657171980;Comedy
Avicii;20600000;10292874715;Music
Mnet K-POP;20500000;15038593883;Entertainment
LazarBeam;20500000;8768697257;Gaming
Ninja Kidz TV;20500000;11009148579;Entertainment
Totoy kids - Portuguï¿½;20400000;1796227417;Film & Animation
Jake Paul;20400000;7311322368;People & Blogs
Linkin Park;20400000;13397000296;Music
Vijay Television;20400000;29406206620;Entertainment
SlivkiShow;20400000;4707412332;Entertainment
Emiway Bantai;20400000;3579555124;Music
Got Talent Global;20300000;2441288701;Entertainment
ýýýýýýýýýýýýýýý - Genevieve's Playhouse;20300000;11022391339;Education
BabyBus - Cerita & Lagu Anak-anak;20300000;11819051552;Education
Ami Rodriguez;20200000;2951914200;Entertainment
Noor Stars;20200000;2764127969;Comedy
Family GamesTV;20200000;7066711323;Entertainment
Kiddiestv Hindi - Nursery Rhymes & Kids Songs;20200000;7274150246;Education
dednahype;20200000;20919403720;Comedy
Marta and Rustam;20200000;19694265358;Comedy
MiawAug;20200000;6098644584;Gaming
CookieSwirlC;20100000;23353115850;Entertainment
Skrillex;20100000;6618524158;Music
AuthenticGames;20100000;8920141342;Gaming
Robin Hood Gamer;20100000;10366850490;Entertainment
Pencilmation;20100000;11317309935;Film & Animation
7clouds;20100000;14816075927;Music
5-Minute Crafts PLAY;20100000;6119294270;Howto & Style
Marvel Entertainment;20100000;5634695322;Entertainment
BuzzFeedVideo;20100000;17913237851;People & Blogs
REACT;20000000;13154314376;Entertainment
Vevo;20000000;559765455;Music
Gordon Ramsay;20000000;3875172235;Entertainment
Pentatonix;20000000;6033295543;Music
Green Gold TV - Official Channel;20000000;9715291883;Film & Animation
Gusttavo Lima Oficial;19900000;13917423958;Music
HaerteTest;19800000;3234880084;Science & Technology
Crafty Panda;19800000;5759442450;People & Blogs
SOMOY TV;19800000;12293479945;News & Politics
JennaMarbles;19700000;1803249241;Comedy
Troom Troom Es;19700000;7452667615;People & Blogs
Official Pink Panther;19700000;10955619815;Film & Animation
Britain's Got Talent;19700000;11323617496;Entertainment
SCTV;19700000;9808676159;Entertainment
AS Gaming;19600000;2851024430;Gaming
Sony AATH;19600000;13930021471;Shows
tabii Urdu;19600000;8779729549;Entertainment
DaFuq!?Boom!;19600000;7906181776;Film & Animation
Clash of Clans;19600000;3961318438;Gaming
RKD Studios;19500000;5234251168;Entertainment
DLS News;19400000;2255542592;News & Politics
JukiLop;19400000;1577859332;People & Blogs
etvteluguindia;19400000;23038014291;Entertainment
FIFA;19400000;5529131886;Sports
Manoj  parihar;19300000;264228052;nan
Vsauce;19300000;2897907132;Science & Technology
Unbox Therapy;19300000;4508184467;Science & Technology
shane;19200000;4329121104;People & Blogs
Sonotek;19200000;7590582024;Entertainment
Jimmy Kimmel Live;19100000;13124645973;Entertainment
TheOdd1sOut;19100000;4566120190;Comedy
Goldmines Great Indian Comedy;19100000;5194942269;Film & Animation
Lil Nas X;19100000;6339584661;Music
ýýýýýýýýýýýýýý ýýýý;19000000;4924054368;Education
SUPER SLICK SLIME SAM;19000000;7229175322;Howto & Style
Wow Kidz Action;19000000;8281724393;Film & Animation
Turma da Mï¿½ï¿½;19000000;13824277846;Film & Animation
Calvin Harris;19000000;16014044618;Music
KBS WORLD TV;19000000;15126092508;Entertainment
HiMan;18900000;2855519150;People & Blogs
Masha e o Urso;18900000;8301731337;Shows
Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½;18900000;9813245108;Education
TED-Ed;18800000;3654621568;Education
Sidemen;18800000;5257834105;Entertainment
Cardi B;18800000;7634430188;People & Blogs
Busy Fun Ltd;18800000;7762077012;nan
Farruko;18800000;9573641299;Music
ýýýýýýýýýýýýýýýýýýýýýý;18800000;9594188708;Entertainment
Triggered Insaan;18800000;3276891538;Comedy
CKN;18700000;12295637162;Entertainment
Ali-A;18700000;6148303268;Gaming
Shemaroo Comedy;18600000;6047584292;Entertainment
Smile Family Spanish;18600000;7008250496;nan
GRAMMY GOLD OFFICIAL;18600000;20196704276;Music
ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý | Arab Games Network;18600000;8761255550;Gaming
Dan-Sa / Daniel Saboya;18500000;2908120896;Music
Marmok;18500000;3457618361;Gaming
The ACE Family;18500000;4558380251;People & Blogs
Like Nastya Vlog;18500000;8147575884;People & Blogs
Willie Salim;18500000;4051072188;People & Blogs
PDK Films;18400000;4120324310;Entertainment
TheWillyrex;18400000;7038827526;Comedy
RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½;18400000;11544297793;Music
Dhar Mann;18400000;11280732382;People & Blogs
shakiraVEVO;18400000;25367126292;Music
Naisa Alifia Yuriza (N.A.Y);18300000;1606834186;People & Blogs
Miley Cyrus;18300000;7760819588;Entertainment
IShowSpeed;18300000;1556003039;Gaming
Good Mythical Morning;18300000;8798044678;Entertainment
Bobby chourasiya;18200000;9937823152;People & Blogs
INCRï¿½ï¿;18200000;3213324455;People & Blogs
Jake Fellman;18100000;13378360425;Entertainment
GEN HALILINTAR;18100000;3306242674;Entertainment
SQUEEZIE;18100000;9983065083;Gaming
Blippi - Educational Videos for Kids;18100000;14857290259;Education
officialpsy;18100000;10703830496;Music
Ajay Sharma;18100000;12249828886;Entertainment
Manual do Mundo;18000000;3980991248;Howto & Style
How Ridiculous;18000000;9601137077;Sports
And TV;18000000;15412333005;Entertainment
Sebastiï¿½ï¿½ï¿½;18000000;10463166404;News & Politics
SonyMusicSouthVEVO;18000000;17921124985;Music
TheGrefg;18000000;6404852037;Gaming
BeatboxJCOP;18000000;8716982055;Film & Animation
David Dobrik;17900000;7176572299;People & Blogs
KatieAngel;17900000;3841205465;People & Blogs
RobleisIUTU;17900000;5168721499;Entertainment
Lele Pons;17900000;5244917119;Comedy
Demi Lovato;17900000;6888074944;Music
Like Nastya VNM;17900000;9867515979;Entertainment
Jason Derulo;17900000;9887116267;Music
MGC Playhouse;17900000;16174530046;Shows
Zuni and Family;17900000;6746269458;People & Blogs
Priyal Kukreja;17800000;11057945183;People & Blogs
MSA previously My Story Animated;17800000;8588704539;Film & Animation
ýýýýýýýýý KIMPRO;17700000;19206701832;nan
Jane ASMR ï¿½ï¿½;17700000;7387621644;nan
ArianaGrandeVevo;17700000;20115544708;Music
jaanvi patel;17700000;7912733203;People & Blogs
tanboy kun;17700000;3647267655;People & Blogs
Lil Pump;17700000;4196061192;Music
Porta dos Fundos;17700000;7739048000;Entertainment
News 24;17700000;8396875537;News & Politics
Les' Copaque Production;17700000;9059696049;Film & Animation
El Payaso Plim Plim;17700000;17247584185;Film & Animation
zbing z.;17600000;9269174070;Gaming
MissaSinfonia;17600000;2274007523;Comedy
ýýýýýýýýý Liziqi;17600000;2977741577;Howto & Style
The Game Theorists;17600000;3752347262;Gaming
DeGoBooM;17600000;6306204566;Gaming
JFlaMusic;17600000;3802280098;Music
FactTechz;17500000;2238134438;Entertainment
News18 India;17500000;7263619576;News & Politics
Fun For Kids TV - Hindi Rhymes;17500000;7612385622;Entertainment
IGN;17500000;16107116549;Gaming
Aphmau;17400000;17763586483;Gaming
AMARINTV : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½;17400000;13043561912;Entertainment
ýýýýýýýýýýýýýýýý - Al-Remas;17400000;11144195464;Music
Koray Zeynep;17400000;16560557488;People & Blogs
Apple;17300000;1026425106;Science & Technology
Stubborn Facts;17300000;902225615;Film & Animation
Taarak Mehta Ka Ooltah Chashmah;17300000;11371738047;Entertainment
HowToBasic;17300000;3684816159;Howto & Style
PopularMMOs;17200000;14573155899;Gaming
Marques Brownlee;17200000;3606912471;Science & Technology
Anitta;17200000;7337212581;Music
Jason Vlogs;17200000;8903647480;Education
El Reino a Jugar;17200000;11445492404;Education
Willyrex;17200000;5024088947;Gaming
TheBrianMaps;17100000;4448334716;Comedy
TRANS TV Official;17100000;9710962528;Entertainment
Liza Koshy;17100000;2173106162;Comedy
Queen Official;17000000;10847948832;Music
Prajapati News;17000000;1001465469;Comedy
Gaby and Alex;17000000;8229883114;Entertainment
LuisFonsiVEVO;17000000;14543594822;Music
Pop Chartbusters;16900000;8684010451;Music
Guava Juice;16900000;9111000228;Gaming
EeOneGuy;16900000;3827906874;Entertainment
VICE;16900000;4609753237;Entertainment
Aayu and Pihu Show;16900000;9270331567;Comedy
Danny Fitt;16900000;9544277833;People & Blogs
Bispo Bruno Leonardo;16900000;3523578665;Nonprofits & Activism
DeToxoMoroxo;16800000;2315962318;Entertainment
Doggy Doggy Cartoons;16800000;6518418501;Entertainment
deepesh zo;16800000;7206462713;People & Blogs
Like Nastya IDN;16800000;7195314800;Entertainment
Gato Galactico | GALï¿½ï¿;16800000;3693798804;Film & Animation
Salman Noman;16700000;10393037902;Entertainment
CoryxKenshin;16700000;7102965621;Gaming
With Kids[ï¿½ï¿½ï¿½ï¿½ï;16700000;8826138204;Entertainment
Travis Scott;16700000;7979736581;Music
Tu COSMOPOLIS;16700000;5089284369;People & Blogs
Ivana Alawi;16600000;1318442641;nan
Werever2morro;16600000;2798273962;Entertainment
IDEAS EN 5 MINUTOS;16600000;3696973456;Howto & Style
NMF News;16600000;7435180827;News & Politics
SriBalajiMovies;16600000;9439857193;Entertainment
Lahari Music - TSeries;16600000;11946217860;Music
Younes Zarou;16600000;15278668857;Entertainment
Jordan Matter;16600000;5819508534;Entertainment
ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý;16500000;2440934034;Entertainment
FailArmy;16500000;3037260680;Comedy
BBC News Hindi;16500000;7043235131;News & Politics
FunFun Toy Doll TV;16500000;7406207930;Entertainment
Sandra Cires Art;16400000;3955426159;Howto & Style
Kaykai Salaider;16400000;4434679706;Comedy
UFC - Ultimate Fighting Championship;16400000;7135820721;Sports
Ch7HD;16400000;9463244435;Entertainment
RCTI - LAYAR DRAMA INDONESIA;16400000;13478392540;Entertainment
Alfredo Larin;16400000;14431830557;Entertainment
GMMTV OFFICIALï¿½ï¿½;16400000;12844432341;Entertainment
Matt Stonie;16300000;3527627264;Entertainment
